id,name,city,state,latitude,longitude,categories,sub_categories,tags,cost_per_day,rating,description,visit_duration_hours,best_time_to_visit,photos,website_url,google_maps_url,opening_hours,entry_fee,is_active,nearby_attractions,facilities,created_at,updated_at
gj_ahm_013,Ahmedabad Church,Ahmedabad,Gujarat,29.13688504,69.46217506,"["shopping"]",[],["historic","cultural"],654,4.6,Ahmedabad Church is known for bustling. Features include ancient.,2,year_round,[],,,,145,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
ar_bom_002,Bomdila Palace,Bomdila,Arunachal Pradesh,28.39264394,89.66229432,"["history"]",[],["peaceful","serene"],75,4.8,Bomdila Palace is known for modern. Features include peaceful.,5,year_round,[],,,,437,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
ka_coo_014,Coorg Palace,Coorg,Karnataka,30.77329915,84.21431834,"["religious"]",[],["serene","adventure"],616,4.7,Coorg Palace is known for historic. Features include modern.,4,year_round,[],,,,388,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
jh_ran_005,Ranchi Hill,Ranchi,Jharkhand,9.94868231,70.15751545,"["cultural"]",[],["modern","scenic"],202,4.1,Ranchi Hill is known for serene. Features include bustling.,5,year_round,[],,,,160,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
mz_aiz_025,Aizawl Lake,Aizawl,Mizoram,29.93063589,78.12841540,"["food"]",[],["historic","modern"],219,4.2,Aizawl Lake is known for peaceful. Features include vibrant.,4,year_round,[],,,,281,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
rj_jai_011,Jaisalmer Lake,Jaisalmer,Rajasthan,18.58331127,86.90838380,"["cultural"]",[],["vibrant","cultural"],211,4.2,Jaisalmer Lake is known for adventure. Features include modern.,3,year_round,[],,,,266,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
wb_kal_027,Kalimpong Sanctuary,Kalimpong,West Bengal,8.85163446,79.12235928,"["religious"]",[],["cultural","bustling"],914,4.6,Kalimpong Sanctuary is known for historic. Features include bustling.,4,year_round,[],,,,468,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
od_chi_023,Chidiya Tapu Cave,Chidiya Tapu,Odisha,34.57210180,83.87337232,"["nature"]",[],["scenic","cultural"],603,4.8,Chidiya Tapu Cave is known for ancient. Features include vibrant.,3,year_round,[],,,,78,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
hr_kur_010,Kurukshetra Cave,Kurukshetra,Haryana,13.63941817,87.61863806,"["beach"]",[],["peaceful","serene"],116,4.2,Kurukshetra Cave is known for cultural. Features include serene.,3,year_round,[],,,,296,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
ar_nam_010,Namsai Cave,Namsai,Arunachal Pradesh,12.19372777,84.54022569,"["nature"]",[],["adventure","ancient"],735,4.7,Namsai Cave is known for peaceful. Features include vibrant.,2,year_round,[],,,,363,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
ga_nor_015,North Goa Lake,North Goa,Goa,36.06450106,91.84500967,"["food"]",[],["historic","modern"],485,4.4,North Goa Lake is known for bustling. Features include peaceful.,3,year_round,[],,,,389,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
an_lon_012,Long Island Garden,Long Island,Andaman and Nicobar,28.82611630,79.08250155,"["religious"]",[],["vibrant","ancient"],158,4.7,Long Island Garden is known for serene. Features include bustling.,4,year_round,[],,,,135,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
kl_kov_033,Kovalam Falls,Kovalam,Kerala,31.78076235,80.59798846,"["nature"]",[],["historic","cultural"],844,4.4,Kovalam Falls is known for adventure. Features include peaceful.,5,year_round,[],,,,129,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
dl_del_026,Delhi Beach,Delhi,Delhi,9.26438041,75.03317439,"["religious"]",[],["vibrant","modern"],635,4.2,Delhi Beach is known for adventure. Features include scenic.,4,year_round,[],,,,223,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
ka_agu_045,Agumbe Falls,Agumbe,Karnataka,25.49771445,77.67924046,"["adventure"]",[],["vibrant","adventure"],638,4.4,Agumbe Falls is known for modern. Features include scenic.,3,year_round,[],,,,499,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
mp_bhi_026,Bhimbetka Cave,Bhimbetka,Madhya Pradesh,18.40976505,90.15363122,"["history"]",[],["historic","scenic"],261,4.6,Bhimbetka Cave is known for serene. Features include vibrant.,2,year_round,[],,,,135,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
mz_aiz_037,Aizawl Park,Aizawl,Mizoram,20.87547340,92.75640665,"["beach"]",[],["scenic","historic"],234,4.5,Aizawl Park is known for vibrant. Features include scenic.,3,year_round,[],,,,137,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
tn_ram_053,Rameswaram Park,Rameswaram,Tamil Nadu,30.18137687,78.31532447,"["food"]",[],["historic","ancient"],624,4.6,Rameswaram Park is known for bustling. Features include adventure.,5,year_round,[],,,,366,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
as_dib_019,Dibrugarh Mosque,Dibrugarh,Assam,13.83195005,78.66997998,"["cultural"]",[],["peaceful","historic"],107,4.4,Dibrugarh Mosque is known for cultural. Features include serene.,2,year_round,[],,,,454,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
kl_the_020,Thekkady Sanctuary,Thekkady,Kerala,28.85413676,73.33135996,"["nature"]",[],["historic","cultural"],578,4.0,Thekkady Sanctuary is known for scenic. Features include bustling.,4,year_round,[],,,,184,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
ka_mur_056,Murudeshwar Garden,Murudeshwar,Karnataka,29.22932693,84.30818352,"["nature"]",[],["peaceful","historic"],436,4.2,Murudeshwar Garden is known for scenic. Features include peaceful.,6,year_round,[],,,,94,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
as_sib_022,Sibsagar Palace,Sibsagar,Assam,18.62059507,93.59791456,"["nature"]",[],["scenic","ancient"],93,4.1,Sibsagar Palace is known for serene. Features include modern.,6,year_round,[],,,,291,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
rj_jai_028,Jaintia Hills Garden,Jaintia Hills,Rajasthan,8.46938094,75.17770169,"["cultural"]",[],["bustling","vibrant"],815,4.6,Jaintia Hills Garden is known for scenic. Features include historic.,6,year_round,[],,,,453,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
wb_kol_027,Kolkata Lake,Kolkata,West Bengal,25.25155776,80.49722371,"["history"]",[],["serene","scenic"],863,4.8,Kolkata Lake is known for adventure. Features include bustling.,4,year_round,[],,,,38,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
an_hav_027,Havelock Lake,Havelock,Andaman and Nicobar,28.66736209,86.39987268,"["adventure"]",[],["scenic","peaceful"],363,4.4,Havelock Lake is known for adventure. Features include cultural.,4,year_round,[],,,,482,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
od_bhu_037,Bhubaneswar Park,Bhubaneswar,Odisha,20.27227377,68.28344225,"["cultural"]",[],["bustling","serene"],793,4.7,Bhubaneswar Park is known for peaceful. Features include scenic.,5,year_round,[],,,,444,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
ml_jai_057,Jaintia Hills Cave,Jaintia Hills,Meghalaya,18.37449328,81.29978057,"["beach"]",[],["peaceful","vibrant"],279,4.3,Jaintia Hills Cave is known for modern. Features include modern.,2,year_round,[],,,,295,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
as_haj_028,Hajo Garden,Hajo,Assam,32.70611644,71.79999122,"["beach"]",[],["modern","historic"],642,4.5,Hajo Garden is known for serene. Features include historic.,4,year_round,[],,,,176,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
as_jow_029,Jowai Church,Jowai,Assam,10.51251170,82.49498434,"["nature"]",[],["vibrant","adventure"],817,4.3,Jowai Church is known for scenic. Features include ancient.,5,year_round,[],,,,108,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
sk_nor_065,North Sikkim Park,North Sikkim,Sikkim,27.62567269,85.75818282,"["adventure"]",[],["historic","scenic"],400,4.8,North Sikkim Park is known for scenic. Features include vibrant.,6,year_round,[],,,,196,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
kl_var_056,Varkala Church,Varkala,Kerala,34.78788606,78.21428478,"["cultural"]",[],["adventure","peaceful"],344,4.8,Varkala Church is known for modern. Features include historic.,3,year_round,[],,,,369,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
bi_bod_033,Bodh Gaya Sanctuary,Bodh Gaya,Bihar,19.58918759,82.67655850,"["history"]",[],["peaceful","vibrant"],661,4.4,Bodh Gaya Sanctuary is known for peaceful. Features include modern.,6,year_round,[],,,,324,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
ml_daw_053,Dawki Sanctuary,Dawki,Meghalaya,20.81435018,77.54288391,"["nature"]",[],["historic","ancient"],449,4.3,Dawki Sanctuary is known for vibrant. Features include bustling.,3,year_round,[],,,,239,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
nl_koh_044,Kohima Park,Kohima,Nagaland,29.59648285,75.86229450,"["history"]",[],["peaceful","adventure"],814,4.8,Kohima Park is known for bustling. Features include serene.,6,year_round,[],,,,211,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
jh_ran_036,Ranchi Church,Ranchi,Jharkhand,36.19364630,94.53827079,"["nature"]",[],["cultural","modern"],853,4.8,Ranchi Church is known for bustling. Features include adventure.,4,year_round,[],,,,208,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
rj_jai_041,Jaintia Hills Church,Jaintia Hills,Rajasthan,15.01173757,87.01431705,"["nature"]",[],["historic","peaceful"],971,4.8,Jaintia Hills Church is known for peaceful. Features include cultural.,3,year_round,[],,,,402,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
bi_muz_037,Muzaffarpur Garden,Muzaffarpur,Bihar,30.10342334,82.52574664,"["history"]",[],["ancient","bustling"],55,4.6,Muzaffarpur Garden is known for historic. Features include vibrant.,4,year_round,[],,,,305,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
od_kon_043,Konark Beach,Konark,Odisha,18.48433631,94.22471940,"["adventure"]",[],["adventure","historic"],702,4.6,Konark Beach is known for scenic. Features include scenic.,3,year_round,[],,,,257,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
ka_mur_074,Murudeshwar Hill,Murudeshwar,Karnataka,34.56273547,91.29314393,"["cultural"]",[],["scenic","cultural"],222,4.7,Murudeshwar Hill is known for historic. Features include ancient.,5,year_round,[],,,,432,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
sk_gan_071,Gangtok Church,Gangtok,Sikkim,22.14731485,78.93895968,"["history"]",[],["vibrant","ancient"],202,4.6,Gangtok Church is known for cultural. Features include modern.,6,year_round,[],,,,379,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
mp_bho_063,Bhopal Church,Bhopal,Madhya Pradesh,16.19712203,76.79879811,"["beach"]",[],["scenic","vibrant"],397,4.6,Bhopal Church is known for ancient. Features include scenic.,2,year_round,[],,,,328,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
mh_pun_059,Pune Mosque,Pune,Maharashtra,25.35793969,78.06389626,"["history"]",[],["ancient","scenic"],310,4.4,Pune Mosque is known for vibrant. Features include adventure.,3,year_round,[],,,,244,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
ga_nor_047,North Goa Church,North Goa,Goa,9.85866849,68.91457122,"["history"]",[],["historic","cultural"],400,4.3,North Goa Church is known for vibrant. Features include scenic.,6,year_round,[],,,,27,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
cg_mai_054,Mainpat Lake,Mainpat,Chhattisgarh,11.47598177,87.62761316,"["food"]",[],["bustling","ancient"],427,4.4,Mainpat Lake is known for historic. Features include ancient.,2,year_round,[],,,,327,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
hr_kur_046,Kurukshetra Beach,Kurukshetra,Haryana,9.43264877,78.06143489,"["adventure"]",[],["bustling","historic"],205,4.8,Kurukshetra Beach is known for bustling. Features include vibrant.,4,year_round,[],,,,425,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
as_kaz_047,Kaziranga Hill,Kaziranga,Assam,22.49461367,69.16878191,"["religious"]",[],["modern","scenic"],138,4.7,Kaziranga Hill is known for adventure. Features include modern.,2,year_round,[],,,,114,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
mh_nas_082,Nashik Cave,Nashik,Maharashtra,15.64342609,82.41115172,"["nature"]",[],["scenic","ancient"],212,4.3,Nashik Cave is known for adventure. Features include cultural.,2,year_round,[],,,,323,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
lk_ban_048,Bangaram Cave,Bangaram,Lakshadweep,31.81555221,71.95499165,"["history"]",[],["scenic","modern"],766,4.4,Bangaram Cave is known for ancient. Features include scenic.,4,year_round,[],,,,307,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
cg_bhi_049,Bhilai Church,Bhilai,Chhattisgarh,8.17782731,70.12540902,"["religious"]",[],["peaceful","ancient"],956,4.2,Bhilai Church is known for scenic. Features include ancient.,5,year_round,[],,,,133,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
ml_jai_080,Jaintia Hills Mosque,Jaintia Hills,Meghalaya,26.53147724,86.44831997,"["history"]",[],["ancient","vibrant"],978,4.5,Jaintia Hills Mosque is known for bustling. Features include historic.,4,year_round,[],,,,310,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
bi_vai_051,Vaishali Hill,Vaishali,Bihar,21.93473989,85.15190112,"["cultural"]",[],["historic","ancient"],673,4.6,Vaishali Hill is known for serene. Features include cultural.,5,year_round,[],,,,229,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
rj_bun_082,Bundi Sanctuary,Bundi,Rajasthan,17.23393073,83.69477953,"["nature"]",[],["historic","peaceful"],145,4.4,Bundi Sanctuary is known for cultural. Features include adventure.,4,year_round,[],,,,441,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
tn_kan_073,Kanyakumari Falls,Kanyakumari,Tamil Nadu,12.14561696,90.72887517,"["adventure"]",[],["ancient","modern"],613,4.4,Kanyakumari Falls is known for peaceful. Features include peaceful.,4,year_round,[],,,,38,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
nl_koh_064,Kohima Cave,Kohima,Nagaland,24.46104673,90.79646247,"["adventure"]",[],["adventure","ancient"],449,4.0,Kohima Cave is known for modern. Features include ancient.,6,year_round,[],,,,78,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
ap_vis_055,Visakhapatnam Mosque,Visakhapatnam,Andhra Pradesh,23.90481940,68.33956486,"["religious"]",[],["ancient","cultural"],415,4.4,Visakhapatnam Mosque is known for peaceful. Features include vibrant.,5,year_round,[],,,,303,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
mh_shi_081,Shillong Beach,Shillong,Maharashtra,15.87763140,80.70740788,"["religious"]",[],["adventure","peaceful"],424,4.7,Shillong Beach is known for adventure. Features include adventure.,3,year_round,[],,,,97,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
nl_koh_067,Kohima Cave,Kohima,Nagaland,29.10471109,78.56949079,"["food"]",[],["scenic","historic"],743,4.9,Kohima Cave is known for vibrant. Features include bustling.,4,year_round,[],,,,279,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
gj_kev_059,Kevadia Cave,Kevadia,Gujarat,26.80997323,91.95002559,"["adventure"]",[],["ancient","scenic"],460,4.5,Kevadia Cave is known for vibrant. Features include cultural.,4,year_round,[],,,,380,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
ga_nor_063,North Goa Church,North Goa,Goa,33.76328503,74.48474640,"["food"]",[],["peaceful","ancient"],731,4.4,North Goa Church is known for bustling. Features include bustling.,4,year_round,[],,,,179,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
ka_gok_080,Gokarna Beach,Gokarna,Karnataka,33.15130789,75.64197891,"["adventure"]",[],["cultural","vibrant"],861,4.7,Gokarna Beach is known for scenic. Features include bustling.,5,year_round,[],,,,255,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
mz_aiz_081,Aizawl Hill,Aizawl,Mizoram,8.34684800,75.05871738,"["adventure"]",[],["modern","vibrant"],206,4.4,Aizawl Hill is known for ancient. Features include historic.,6,year_round,[],,,,495,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
an_dig_062,Diglipur Church,Diglipur,Andaman and Nicobar,27.93198028,73.48371927,"["history"]",[],["cultural","adventure"],466,4.8,Diglipur Church is known for scenic. Features include modern.,4,year_round,[],,,,64,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
rj_pus_103,Pushkar Hill,Pushkar,Rajasthan,31.05443117,85.79594256,"["beach"]",[],["adventure","bustling"],728,4.4,Pushkar Hill is known for peaceful. Features include peaceful.,2,year_round,[],,,,462,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
pb_amr_064,Amritsar Sanctuary,Amritsar,Punjab,22.51109538,68.21318672,"["nature"]",[],["scenic","bustling"],209,4.5,Amritsar Sanctuary is known for modern. Features include bustling.,4,year_round,[],,,,399,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
ka_chi_105,Chidiya Tapu Falls,Chidiya Tapu,Karnataka,8.83656893,83.34144237,"["shopping"]",[],["serene","adventure"],374,4.3,Chidiya Tapu Falls is known for adventure. Features include cultural.,2,year_round,[],,,,185,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
wb_kol_069,Kolkata Cave,Kolkata,West Bengal,27.49475847,69.79217290,"["shopping"]",[],["scenic","adventure"],711,4.3,Kolkata Cave is known for ancient. Features include cultural.,6,year_round,[],,,,227,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
tg_war_077,Warangal Sanctuary,Warangal,Telangana,28.83356671,86.70526903,"["cultural"]",[],["cultural","ancient"],885,4.0,Warangal Sanctuary is known for cultural. Features include vibrant.,6,year_round,[],,,,467,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
ml_che_084,Cherrapunji Church,Cherrapunji,Meghalaya,25.91894791,78.90241904,"["food"]",[],["modern","historic"],580,4.6,Cherrapunji Church is known for vibrant. Features include peaceful.,4,year_round,[],,,,315,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
cg_rai_074,Raipur Park,Raipur,Chhattisgarh,17.28482672,90.56745607,"["cultural"]",[],["modern","cultural"],173,4.2,Raipur Park is known for adventure. Features include scenic.,4,year_round,[],,,,283,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
kl_var_095,Varkala Beach,Varkala,Kerala,15.56284542,90.28743600,"["history"]",[],["scenic","adventure"],465,4.3,Varkala Beach is known for scenic. Features include bustling.,4,year_round,[],,,,232,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
la_kar_071,Kargil Beach,Kargil,Ladakh,11.67751859,83.89424111,"["shopping"]",[],["historic","bustling"],30,4.9,Kargil Beach is known for scenic. Features include scenic.,5,year_round,[],,,,143,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
uk_aul_097,Auli Sanctuary,Auli,Uttarakhand,20.32639805,94.10020909,"["beach"]",[],["modern","scenic"],530,4.1,Auli Sanctuary is known for historic. Features include ancient.,4,year_round,[],,,,368,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
la_leh_098,Leh Cave,Leh,Ladakh,23.56505836,93.67929414,"["religious"]",[],["cultural","modern"],304,4.8,Leh Cave is known for adventure. Features include serene.,2,year_round,[],,,,250,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
uk_ked_109,Kedarnath Beach,Kedarnath,Uttarakhand,35.31155317,92.65908160,"["adventure"]",[],["adventure","bustling"],63,4.6,Kedarnath Beach is known for bustling. Features include peaceful.,4,year_round,[],,,,172,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
pb_amr_075,Amritsar Palace,Amritsar,Punjab,29.98241448,80.34573254,"["food"]",[],["adventure","ancient"],685,4.1,Amritsar Palace is known for historic. Features include serene.,5,year_round,[],,,,139,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
mh_shi_101,Shillong Beach,Shillong,Maharashtra,35.80674084,80.09974122,"["shopping"]",[],["adventure","peaceful"],172,4.7,Shillong Beach is known for bustling. Features include peaceful.,6,year_round,[],,,,456,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
sk_nor_112,North Sikkim Sanctuary,North Sikkim,Sikkim,27.16758295,92.39979525,"["nature"]",[],["serene","vibrant"],788,4.5,North Sikkim Sanctuary is known for adventure. Features include modern.,3,year_round,[],,,,123,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
mp_bho_100,Bhopal Mosque,Bhopal,Madhya Pradesh,36.49521127,75.25184191,"["shopping"]",[],["bustling","vibrant"],217,4.3,Bhopal Mosque is known for serene. Features include cultural.,4,year_round,[],,,,148,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
tg_war_089,Warangal Church,Warangal,Telangana,23.19626504,94.41396727,"["food"]",[],["cultural","ancient"],277,4.4,Warangal Church is known for peaceful. Features include peaceful.,5,year_round,[],,,,387,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
tr_aga_080,Agartala Park,Agartala,Tripura,9.96617205,90.98639781,"["adventure"]",[],["modern","bustling"],589,4.5,Agartala Park is known for modern. Features include adventure.,4,year_round,[],,,,500,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
an_dig_081,Diglipur Hill,Diglipur,Andaman and Nicobar,34.46166582,75.72997866,"["beach"]",[],["modern","vibrant"],576,4.8,Diglipur Hill is known for vibrant. Features include modern.,5,year_round,[],,,,304,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
