id,name,city,state,latitude,longitude,categories,sub_categories,tags,cost_per_day,rating,description,visit_duration_hours,best_time_to_visit,photos,website_url,google_maps_url,opening_hours,entry_fee,is_active,nearby_attractions,facilities,created_at,updated_at
ar_taw_084,Tawang Sanctuary,Tawang,Arunachal Pradesh,16.09159756,89.58410419,"["adventure"]",[],["peaceful","cultural"],648,4.9,Tawang Sanctuary is known for adventure. Features include historic.,5,year_round,[],,,,243,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
lk_ban_083,Bangaram Mosque,Bangaram,Lakshadweep,30.86476837,86.83792341,"["adventure"]",[],["modern","vibrant"],929,4.1,Bangaram Mosque is known for vibrant. Features include bustling.,2,year_round,[],,,,93,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
mp_jab_109,Jabalpur Sanctuary,Jabalpur,Madhya Pradesh,18.44702785,94.99180833,"["religious"]",[],["peaceful","serene"],764,4.3,Jabalpur Sanctuary is known for peaceful. Features include historic.,4,year_round,[],,,,321,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
bi_raj_085,Rajgir Garden,Rajgir,Bihar,20.99075331,77.74151725,"["adventure"]",[],["ancient","adventure"],797,4.3,Rajgir Garden is known for peaceful. Features include serene.,3,year_round,[],,,,178,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
ml_shi_111,Shillong Palace,Shillong,Meghalaya,32.30553635,79.78502363,"["beach"]",[],["bustling","ancient"],793,4.2,Shillong Palace is known for serene. Features include adventure.,5,year_round,[],,,,272,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
nl_dzu_098,Dzukou Church,Dzukou,Nagaland,22.43974311,94.47807859,"["religious"]",[],["cultural","serene"],424,4.3,Dzukou Church is known for modern. Features include scenic.,2,year_round,[],,,,434,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
pb_amr_088,Amritsar Lake,Amritsar,Punjab,24.64307871,80.04831272,"["beach"]",[],["adventure","scenic"],822,4.6,Amritsar Lake is known for peaceful. Features include peaceful.,3,year_round,[],,,,44,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
bi_paw_089,Pawapuri Hill,Pawapuri,Bihar,25.98652689,70.37346309,"["adventure"]",[],["scenic","modern"],768,4.6,Pawapuri Hill is known for serene. Features include peaceful.,2,year_round,[],,,,52,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
mz_aiz_110,Aizawl Garden,Aizawl,Mizoram,9.63825017,74.48489691,"["nature"]",[],["scenic","bustling"],243,4.8,Aizawl Garden is known for peaceful. Features include vibrant.,3,year_round,[],,,,221,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
wb_kol_094,Kolkata Hill,Kolkata,West Bengal,29.35615559,89.51785611,"["shopping"]",[],["bustling","serene"],431,4.1,Kolkata Hill is known for cultural. Features include peaceful.,6,year_round,[],,,,179,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
sk_gan_123,Gangtok Church,Gangtok,Sikkim,32.51157919,78.07248589,"["cultural"]",[],["historic","adventure"],301,4.6,Gangtok Church is known for adventure. Features include ancient.,4,year_round,[],,,,441,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
ga_nor_097,North Goa Lake,North Goa,Goa,18.44507588,89.69598522,"["religious"]",[],["cultural","adventure"],686,4.5,North Goa Lake is known for modern. Features include ancient.,5,year_round,[],,,,330,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
mn_mor_114,Moreh Beach,Moreh,Manipur,10.18772198,92.85242171,"["cultural"]",[],["serene","scenic"],260,4.5,Moreh Beach is known for historic. Features include ancient.,4,year_round,[],,,,187,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
up_ayo_115,Ayodhya Sanctuary,Ayodhya,Uttar Pradesh,19.31104080,90.29230520,"["cultural"]",[],["cultural","modern"],24,4.9,Ayodhya Sanctuary is known for historic. Features include cultural.,4,year_round,[],,,,94,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
hp_shi_098,Shillong Beach,Shillong,Himachal Pradesh,17.98588289,86.14057941,"["beach"]",[],["adventure","ancient"],266,4.5,Shillong Beach is known for cultural. Features include modern.,3,year_round,[],,,,90,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
hp_dal_117,Dalhousie Mosque,Dalhousie,Himachal Pradesh,26.19101721,80.55275223,"["shopping"]",[],["ancient","vibrant"],393,4.5,Dalhousie Mosque is known for scenic. Features include serene.,3,year_round,[],,,,470,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
mn_mor_118,Moreh Church,Moreh,Manipur,30.63061430,95.47158791,"["history"]",[],["cultural","peaceful"],522,4.4,Moreh Church is known for historic. Features include ancient.,2,year_round,[],,,,171,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
tg_hyd_103,Hyderabad Cave,Hyderabad,Telangana,19.75117483,83.39873840,"["shopping"]",[],["serene","scenic"],949,4.5,Hyderabad Cave is known for historic. Features include ancient.,5,year_round,[],,,,54,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
ap_tir_125,Tirupati Beach,Tirupati,Andhra Pradesh,19.03979453,76.13195557,"["religious"]",[],["scenic","modern"],518,4.1,Tirupati Beach is known for cultural. Features include adventure.,5,year_round,[],,,,230,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
an_hav_103,Havelock Cave,Havelock,Andaman and Nicobar,20.43948185,95.76902109,"["beach"]",[],["scenic","ancient"],258,4.3,Havelock Cave is known for vibrant. Features include peaceful.,5,year_round,[],,,,416,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
rj_bun_132,Bundi Hill,Bundi,Rajasthan,25.82736453,69.13754732,"["history"]",[],["ancient","historic"],500,4.5,Bundi Hill is known for cultural. Features include ancient.,6,year_round,[],,,,180,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
tg_war_113,Warangal Lake,Warangal,Telangana,9.37097169,85.77085645,"["adventure"]",[],["serene","historic"],823,4.5,Warangal Lake is known for ancient. Features include cultural.,3,year_round,[],,,,338,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
dl_del_116,Delhi Palace,Delhi,Delhi,17.15122965,82.72749414,"["food"]",[],["adventure","serene"],329,4.1,Delhi Palace is known for historic. Features include historic.,2,year_round,[],,,,119,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
hp_man_112,Manali Cave,Manali,Himachal Pradesh,21.23971061,91.83626845,"["history"]",[],["scenic","ancient"],995,4.1,Manali Cave is known for vibrant. Features include adventure.,4,year_round,[],,,,33,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
hp_shi_108,Shillong Park,Shillong,Himachal Pradesh,9.46065616,68.81288575,"["cultural"]",[],["cultural","adventure"],227,4.2,Shillong Park is known for historic. Features include modern.,6,year_round,[],,,,22,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
as_jor_107,Jorhat Hill,Jorhat,Assam,34.62417300,78.48874230,"["nature"]",[],["adventure","scenic"],971,4.4,Jorhat Hill is known for modern. Features include historic.,5,year_round,[],,,,486,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
dl_del_120,Delhi Palace,Delhi,Delhi,35.89816181,92.27484208,"["religious"]",[],["serene","modern"],227,4.5,Delhi Palace is known for scenic. Features include bustling.,3,year_round,[],,,,55,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
wb_kol_112,Kolkata Mosque,Kolkata,West Bengal,34.70132677,95.62796556,"["beach"]",[],["scenic","adventure"],794,4.6,Kolkata Mosque is known for adventure. Features include peaceful.,4,year_round,[],,,,132,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
ka_gok_130,Gokarna Falls,Gokarna,Karnataka,26.06073315,94.74943982,"["nature"]",[],["bustling","scenic"],923,4.4,Gokarna Falls is known for historic. Features include modern.,3,year_round,[],,,,143,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
as_sib_111,Sibsagar Mosque,Sibsagar,Assam,15.77857003,87.62527734,"["shopping"]",[],["historic","vibrant"],564,4.6,Sibsagar Mosque is known for modern. Features include cultural.,6,year_round,[],,,,298,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
dl_del_124,Delhi Beach,Delhi,Delhi,8.84220478,68.74025608,"["religious"]",[],["historic","serene"],128,4.1,Delhi Beach is known for peaceful. Features include cultural.,3,year_round,[],,,,310,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
cg_mai_123,Mainpat Palace,Mainpat,Chhattisgarh,26.12969335,79.68864803,"["religious"]",[],["ancient","modern"],53,4.4,Mainpat Palace is known for peaceful. Features include scenic.,3,year_round,[],,,,347,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
dl_del_126,Delhi Park,Delhi,Delhi,29.81329952,84.70130875,"["adventure"]",[],["ancient","adventure"],630,4.1,Delhi Park is known for modern. Features include bustling.,2,year_round,[],,,,443,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
wb_kol_118,Kolkata Lake,Kolkata,West Bengal,12.13851082,82.72183511,"["adventure"]",[],["cultural","modern"],829,4.9,Kolkata Lake is known for scenic. Features include scenic.,2,year_round,[],,,,157,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
ap_gun_116,Guntur Lake,Guntur,Andhra Pradesh,30.19601977,76.55503216,"["shopping"]",[],["peaceful","vibrant"],944,4.8,Guntur Lake is known for serene. Features include peaceful.,2,year_round,[],,,,58,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
ml_che_133,Cherrapunji Cave,Cherrapunji,Meghalaya,23.71824089,68.85229091,"["adventure"]",[],["modern","serene"],73,4.4,Cherrapunji Cave is known for scenic. Features include scenic.,6,year_round,[],,,,257,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
ap_ana_118,Anantapur Garden,Anantapur,Andhra Pradesh,18.86292191,87.50336470,"["shopping"]",[],["ancient","bustling"],423,4.1,Anantapur Garden is known for peaceful. Features include adventure.,3,year_round,[],,,,186,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
mp_orc_149,Orchha Falls,Orchha,Madhya Pradesh,18.69377177,96.51068375,"["adventure"]",[],["scenic","vibrant"],308,4.5,Orchha Falls is known for historic. Features include cultural.,6,year_round,[],,,,428,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
wb_dar_132,Darjeeling Hill,Darjeeling,West Bengal,8.14561972,90.45197495,"["cultural"]",[],["scenic","vibrant"],12,4.7,Darjeeling Hill is known for vibrant. Features include ancient.,3,year_round,[],,,,76,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
ap_vis_121,Visakhapatnam Beach,Visakhapatnam,Andhra Pradesh,35.72384070,69.99212558,"["history"]",[],["historic","cultural"],148,4.6,Visakhapatnam Beach is known for historic. Features include scenic.,4,year_round,[],,,,113,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
gj_jun_137,Junagadh Beach,Junagadh,Gujarat,19.22134615,71.44944278,"["religious"]",[],["serene","peaceful"],316,4.5,Junagadh Beach is known for vibrant. Features include cultural.,3,year_round,[],,,,254,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
wb_kol_126,Kolkata Sanctuary,Kolkata,West Bengal,11.08968873,70.11136546,"["history"]",[],["scenic","historic"],346,4.5,Kolkata Sanctuary is known for modern. Features include cultural.,3,year_round,[],,,,386,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
mz_aiz_144,Aizawl Lake,Aizawl,Mizoram,27.49461538,68.69094478,"["food"]",[],["adventure","scenic"],581,4.1,Aizawl Lake is known for ancient. Features include ancient.,6,year_round,[],,,,199,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
rj_jod_140,Jodhpur Palace,Jodhpur,Rajasthan,25.14231393,85.86386728,"["religious"]",[],["peaceful","historic"],656,4.4,Jodhpur Palace is known for historic. Features include cultural.,3,year_round,[],,,,303,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
od_bhu_137,Bhubaneswar Palace,Bhubaneswar,Odisha,13.00227595,72.43610919,"["adventure"]",[],["adventure","modern"],407,4.4,Bhubaneswar Palace is known for cultural. Features include scenic.,6,year_round,[],,,,217,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
cg_amb_127,Ambikapur Palace,Ambikapur,Chhattisgarh,32.02140423,77.87187397,"["nature"]",[],["ancient","serene"],82,4.7,Ambikapur Palace is known for cultural. Features include adventure.,5,year_round,[],,,,237,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
ml_shi_153,Shillong Beach,Shillong,Meghalaya,31.25864533,91.71090415,"["adventure"]",[],["historic","scenic"],667,4.3,Shillong Beach is known for vibrant. Features include adventure.,3,year_round,[],,,,223,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
la_pan_129,Pangong Lake Garden,Pangong Lake,Ladakh,35.87937560,90.05368242,"["food"]",[],["historic","cultural"],541,4.3,Pangong Lake Garden is known for historic. Features include cultural.,2,year_round,[],,,,215,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
jh_ran_131,Ranchi Palace,Ranchi,Jharkhand,19.90924753,82.29968090,"["shopping"]",[],["cultural","peaceful"],599,4.7,Ranchi Palace is known for bustling. Features include ancient.,5,year_round,[],,,,170,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
tr_aga_131,Agartala Cave,Agartala,Tripura,16.52683040,95.75717718,"["nature"]",[],["serene","peaceful"],561,4.8,Agartala Cave is known for scenic. Features include adventure.,5,year_round,[],,,,419,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
tg_hyd_136,Hyderabad Falls,Hyderabad,Telangana,8.25149831,96.05032155,"["beach"]",[],["serene","modern"],68,4.9,Hyderabad Falls is known for cultural. Features include ancient.,5,year_round,[],,,,215,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
nl_koh_143,Kohima Garden,Kohima,Nagaland,17.37341280,96.67302519,"["food"]",[],["adventure","peaceful"],935,4.6,Kohima Garden is known for serene. Features include ancient.,6,year_round,[],,,,216,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
mh_mum_137,Mumbai Palace,Mumbai,Maharashtra,36.02612282,95.59037913,"["religious"]",[],["peaceful","historic"],670,4.4,Mumbai Palace is known for peaceful. Features include adventure.,3,year_round,[],,,,478,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
lk_ban_135,Bangaram Church,Bangaram,Lakshadweep,16.00344477,94.65010909,"["food"]",[],["bustling","historic"],548,4.3,Bangaram Church is known for historic. Features include peaceful.,2,year_round,[],,,,242,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
tr_una_161,Unakoti Palace,Unakoti,Tripura,13.60357041,77.04362858,"["nature"]",[],["adventure","bustling"],623,4.7,Unakoti Palace is known for peaceful. Features include ancient.,6,year_round,[],,,,90,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
od_chi_152,Chidiya Tapu Sanctuary,Chidiya Tapu,Odisha,35.65878945,72.62410858,"["religious"]",[],["historic","adventure"],882,4.6,Chidiya Tapu Sanctuary is known for scenic. Features include adventure.,4,year_round,[],,,,123,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
mz_aiz_158,Aizawl Church,Aizawl,Mizoram,28.74577334,68.40166188,"["nature"]",[],["adventure","serene"],489,4.4,Aizawl Church is known for peaceful. Features include serene.,6,year_round,[],,,,440,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
bi_sas_139,Sasaram Lake,Sasaram,Bihar,29.78704847,75.25792136,"["history"]",[],["vibrant","bustling"],285,4.4,Sasaram Lake is known for vibrant. Features include bustling.,2,year_round,[],,,,59,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
ap_put_140,Puttaparthi Mosque,Puttaparthi,Andhra Pradesh,31.48147569,89.45435289,"["cultural"]",[],["peaceful","adventure"],225,4.7,Puttaparthi Mosque is known for vibrant. Features include vibrant.,5,year_round,[],,,,188,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
jh_ran_142,Ranchi Park,Ranchi,Jharkhand,11.83180991,89.90252834,"["food"]",[],["vibrant","cultural"],683,4.0,Ranchi Park is known for vibrant. Features include vibrant.,4,year_round,[],,,,288,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
ga_nor_146,North Goa Falls,North Goa,Goa,8.94400213,83.98387364,"["history"]",[],["bustling","scenic"],389,4.7,North Goa Falls is known for peaceful. Features include historic.,6,year_round,[],,,,471,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
od_bhu_154,Bhubaneswar Cave,Bhubaneswar,Odisha,11.50436811,85.39908688,"["food"]",[],["adventure","bustling"],947,4.2,Bhubaneswar Cave is known for serene. Features include ancient.,3,year_round,[],,,,109,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
tn_mad_155,Madurai Hill,Madurai,Tamil Nadu,12.59883544,78.96586694,"["shopping"]",[],["cultural","vibrant"],475,4.4,Madurai Hill is known for scenic. Features include ancient.,6,year_round,[],,,,183,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
ar_ita_145,Itanagar Palace,Itanagar,Arunachal Pradesh,23.94471997,77.16167354,"["religious"]",[],["peaceful","scenic"],778,4.5,Itanagar Palace is known for serene. Features include modern.,6,year_round,[],,,,89,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
lk_aga_146,Agatti Hill,Agatti,Lakshadweep,15.13688445,92.85139217,"["food"]",[],["serene","vibrant"],633,4.7,Agatti Hill is known for ancient. Features include serene.,4,year_round,[],,,,388,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
pb_amr_147,Amritsar Palace,Amritsar,Punjab,15.96618450,94.86134372,"["nature"]",[],["ancient","peaceful"],988,4.0,Amritsar Palace is known for vibrant. Features include serene.,5,year_round,[],,,,432,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
tn_oot_165,Ooty Sanctuary,Ooty,Tamil Nadu,23.46761461,90.71551727,"["religious"]",[],["modern","peaceful"],203,4.7,Ooty Sanctuary is known for modern. Features include modern.,4,year_round,[],,,,263,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
hp_dal_169,Dalhousie Park,Dalhousie,Himachal Pradesh,26.31077329,71.35284675,"["nature"]",[],["peaceful","modern"],527,4.6,Dalhousie Park is known for ancient. Features include historic.,6,year_round,[],,,,427,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
wb_sun_165,Sundarbans Park,Sundarbans,West Bengal,8.54450240,70.71102878,"["adventure"]",[],["peaceful","scenic"],836,4.8,Sundarbans Park is known for modern. Features include historic.,3,year_round,[],,,,491,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
mz_aiz_171,Aizawl Garden,Aizawl,Mizoram,14.38202861,89.86048164,"["cultural"]",[],["cultural","adventure"],756,4.9,Aizawl Garden is known for cultural. Features include serene.,5,year_round,[],,,,12,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
bi_paw_152,Pawapuri Sanctuary,Pawapuri,Bihar,18.60790146,78.39892736,"["food"]",[],["modern","adventure"],745,4.3,Pawapuri Sanctuary is known for bustling. Features include serene.,6,year_round,[],,,,173,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
tg_war_163,Warangal Hill,Warangal,Telangana,29.36391389,70.21025363,"["beach"]",[],["ancient","historic"],352,4.4,Warangal Hill is known for serene. Features include modern.,3,year_round,[],,,,328,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
pb_amr_154,Amritsar Mosque,Amritsar,Punjab,30.61594253,83.24003562,"["food"]",[],["historic","ancient"],188,4.1,Amritsar Mosque is known for vibrant. Features include ancient.,2,year_round,[],,,,125,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
ga_sou_169,South Goa Mosque,South Goa,Goa,24.77710474,77.05389850,"["religious"]",[],["bustling","adventure"],771,4.6,South Goa Mosque is known for serene. Features include modern.,5,year_round,[],,,,484,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
tr_una_181,Unakoti Cave,Unakoti,Tripura,18.61750134,89.21640695,"["food"]",[],["cultural","peaceful"],594,4.8,Unakoti Cave is known for adventure. Features include vibrant.,5,year_round,[],,,,478,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
rj_uda_168,Udaipur Church,Udaipur,Rajasthan,16.07693081,87.27532538,"["cultural"]",[],["vibrant","bustling"],383,4.5,Udaipur Church is known for peaceful. Features include modern.,5,year_round,[],,,,367,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
tr_aga_158,Agartala Park,Agartala,Tripura,9.25141196,90.53713187,"["food"]",[],["vibrant","adventure"],24,4.2,Agartala Park is known for ancient. Features include peaceful.,3,year_round,[],,,,295,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
tg_hyd_163,Hyderabad Lake,Hyderabad,Telangana,16.18987935,75.83290753,"["nature"]",[],["bustling","historic"],527,4.9,Hyderabad Lake is known for bustling. Features include historic.,5,year_round,[],,,,99,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
tn_tha_185,Thanjavur Church,Thanjavur,Tamil Nadu,22.37074148,87.18052189,"["adventure"]",[],["historic","modern"],365,4.5,Thanjavur Church is known for ancient. Features include modern.,2,year_round,[],,,,263,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
la_kar_161,Kargil Cave,Kargil,Ladakh,29.89680085,70.14377866,"["religious"]",[],["historic","bustling"],638,4.7,Kargil Cave is known for ancient. Features include modern.,4,year_round,[],,,,299,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
od_kon_167,Konark Falls,Konark,Odisha,8.30386693,94.94276678,"["nature"]",[],["bustling","vibrant"],244,4.7,Konark Falls is known for scenic. Features include historic.,3,year_round,[],,,,386,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
mh_shi_188,Shillong Beach,Shillong,Maharashtra,29.52021437,78.40500966,"["beach"]",[],["bustling","peaceful"],849,4.5,Shillong Beach is known for historic. Features include peaceful.,3,year_round,[],,,,342,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
as_jow_164,Jowai Park,Jowai,Assam,36.32742720,95.92293647,"["shopping"]",[],["historic","ancient"],547,4.8,Jowai Park is known for modern. Features include historic.,6,year_round,[],,,,375,true,[],[],2026-01-22T09:59:14.329549+00,2026-01-22T09:59:14.329549+00
